date,eq_trend,eq_hook,eq_combo
2023-05-11,1.28768518919187,1.2633727031582291,1.2961322155440167
2023-05-12,1.2875652683508447,1.2633727031582291,1.2960718617919225
2023-05-15,1.2875652683508447,1.2633727031582291,1.2960718617919225
2023-05-16,1.2875652683508447,1.2633727031582291,1.2960718617919225
2023-05-17,1.2875652683508447,1.2495808160262327,1.28899743443248
2023-05-18,1.2875652683508447,1.2590893134814571,1.2939016505775662
2023-05-19,1.2875652683508447,1.252605762765657,1.290570243947809
2023-05-22,1.2875652683508447,1.2524907203306006,1.2905109793539966
2023-05-23,1.2875652683508447,1.256999309693657,1.2928337047762206
2023-05-24,1.2875652683508447,1.271814580278246,1.3004525161030958
2023-05-25,1.2875652683508447,1.2678309460986406,1.2984158485053046
2023-05-26,1.2875652683508447,1.2521270255506756,1.2903744690982588
2023-05-29,1.2875652683508447,1.252122749744594,1.2903722658908805
2023-05-30,1.2875652683508447,1.2518064437790757,1.2902092816924369
2023-05-31,1.2875652683508447,1.255880678834428,1.292308893781165
2023-06-01,1.2875652683508447,1.2439983863655286,1.2861954179968578
2023-06-02,1.2875652683508447,1.2438774717232612,1.2861329099339223
2023-06-05,1.2875652683508447,1.2438774717232612,1.2861329099339223
2023-06-06,1.2875652683508447,1.2438774717232612,1.2861329099339223
2023-06-07,1.2875652683508447,1.2438774717232612,1.2861329099339223
2023-06-08,1.2875652683508447,1.2438774717232612,1.2861329099339223
2023-06-09,1.2875652683508447,1.2438774717232612,1.2861329099339223
2023-06-12,1.293092762952515,1.2438774717232612,1.2888935826902619
2023-06-13,1.2929594115584055,1.2438774717232612,1.2888271235153925
2023-06-14,1.2872174626053188,1.2438774717232612,1.2859653246505467
2023-06-15,1.2825964424777976,1.2438774717232612,1.2836570621303673
2023-06-16,1.2827664942351342,1.2438774717232612,1.2837421583196298
2023-06-19,1.2827656796166598,1.2438774717232612,1.2837417507005957
2023-06-20,1.2841559358775327,1.2438774717232612,1.2844374077619807
2023-06-21,1.2816273683179158,1.2438774717232612,1.2831728468660306
2023-06-22,1.2825798028965623,1.2438774717232612,1.2836496384124452
2023-06-23,1.2970824052291896,1.2438774717232612,1.2909069880909112
2023-06-26,1.2989185234139835,1.2438774717232612,1.2918206762984437
2023-06-27,1.2987843020894918,1.2438774717232612,1.2917539323575986
2023-06-28,1.2987843020894918,1.2438774717232612,1.2917539323575986
2023-06-29,1.2987843020894918,1.2438774717232612,1.2917539323575986
2023-06-30,1.2987843020894918,1.2326663107337714,1.2859325947967517
2023-07-03,1.2987843020894918,1.2269456504912684,1.2829486633768958
2023-07-04,1.2987843020894918,1.226819361590824,1.2828826367456594
2023-07-05,1.2987843020894918,1.226819361590824,1.2828826367456594
2023-07-06,1.2987843020894918,1.226819361590824,1.2828826367456594
2023-07-07,1.2987843020894918,1.226819361590824,1.2828826367456594
2023-07-10,1.2987843020894918,1.226819361590824,1.2828826367456594
2023-07-11,1.2987843020894918,1.226819361590824,1.2828826367456594
2023-07-12,1.2836149198453466,1.226819361590824,1.2753908087878285
2023-07-13,1.269169198028122,1.226819361590824,1.2682142246942851
2023-07-14,1.2699615142093577,1.226819361590824,1.2686100846998147
2023-07-17,1.2840722708651318,1.226819361590824,1.2756579550470533
2023-07-18,1.286174160110922,1.226819361590824,1.2767020130015225
2023-07-19,1.2890259988917163,1.226819361590824,1.2781174310782946
2023-07-20,1.2853934038653447,1.226819361590824,1.2763165042439073
2023-07-21,1.2827891898139412,1.226819361590824,1.275023592142291
2023-07-24,1.2761560850618445,1.226819361590824,1.271727117119259
2023-07-25,1.2664750810958183,1.226819361590824,1.26690341435725
2023-07-26,1.264024801620462,1.226819361590824,1.2656778602662953
2023-07-27,1.2599520746211252,1.226819361590824,1.263638833663589
2023-07-28,1.2705612083831888,1.226819361590824,1.268958922293669
2023-07-31,1.2822242723738535,1.226819361590824,1.2747831002296024
2023-08-01,1.2681078310540483,1.226819361590824,1.2677658407619765
2023-08-02,1.2587293048601698,1.226819361590824,1.2630778422912914
2023-08-03,1.2677881392218369,1.226819361590824,1.2676229072687368
2023-08-04,1.2629601030608284,1.226819361590824,1.265209203809351
2023-08-07,1.2584635808736162,1.226819361590824,1.2629569389742996
2023-08-08,1.2474887781124178,1.226819361590824,1.2574499447665262
2023-08-09,1.2491560731144333,1.226819361590824,1.2582902489219536
2023-08-10,1.247263111803921,1.226819361590824,1.2573368473375282
2023-08-11,1.241046858293797,1.226819361590824,1.2542036172609303
2023-08-14,1.240254495676996,1.226819361590824,1.253803235900012
2023-08-15,1.2310970518039925,1.226819361590824,1.2491744952663095
2023-08-16,1.230963634841165,1.226819361590824,1.2491068072367768
2023-08-17,1.230963634841165,1.226819361590824,1.2491068072367768
2023-08-18,1.2323834881334974,1.226819361590824,1.2498271974914243
2023-08-21,1.2322459043692935,1.226819361590824,1.2497574318981284
2023-08-22,1.2385723569270175,1.226819361590824,1.252965610993523
2023-08-23,1.2477172439492423,1.226819361590824,1.2575911901497125
2023-08-24,1.2398881636026815,1.226819361590824,1.253645671836747
2023-08-25,1.237983004190216,1.226819361590824,1.2526825225295317
2023-08-28,1.2395075594665044,1.226819361590824,1.2534538512726456
2023-08-29,1.2487068886826718,1.226819361590824,1.2581052689050212
2023-08-30,1.2498367251102982,1.226819361590824,1.2586744389702624
2023-08-31,1.2457776915541936,1.226819361590824,1.2566305712868493
2023-09-01,1.2513817167771335,1.226819361590824,1.2594569942775449
2023-09-04,1.2513811341820955,1.226819361590824,1.259456701100257
2023-09-05,1.2503367311385183,1.226819361590824,1.2589311296432675
2023-09-06,1.2615221028338748,1.226819361590824,1.2645622577518902
2023-09-07,1.2662484119961113,1.226819361590824,1.2669311073232155
2023-09-08,1.2758134906637582,1.226819361590824,1.2717162251536624
2023-09-11,1.2756614985480148,1.226819361590824,1.271640473156564
2023-09-12,1.27796347685022,1.226819361590824,1.2727878342632306
2023-09-13,1.2777743616671786,1.226819361590824,1.272693659621854
2023-09-14,1.2726663261288302,1.226819361590824,1.2701497971693718
2023-09-15,1.2764875462001102,1.226819361590824,1.2720566292269306
2023-09-18,1.2803559487154608,1.226819361590824,1.2739841165255017
2023-09-19,1.2863996685265118,1.226819361590824,1.276990937812869
2023-09-20,1.2807877268037242,1.226819361590824,1.2742054898300728
2023-09-21,1.265425894435485,1.226819361590824,1.2665640474864972
2023-09-22,1.2652790196699322,1.226819361590824,1.2664905440524554
2023-09-25,1.2601010949991294,1.226819361590824,1.2638991027452653
2023-09-26,1.259954714067872,1.226819361590824,1.2638256916799113
2023-09-27,1.259954714067872,1.226819361590824,1.2638256916799113
2023-09-28,1.259954714067872,1.210299754710628,1.2553167358200317
2023-09-29,1.259954714067872,1.210158810924135,1.2552436427316023
2023-10-02,1.27734559496204,1.210158810924135,1.2639065702321581
2023-10-03,1.2819576621474627,1.210158810924135,1.2661883419159523
2023-10-04,1.2818181236910837,1.2162201043187877,1.2692903944977711
2023-10-05,1.2818181236910837,1.2232483314101297,1.272957847907607
2023-10-06,1.2818181236910837,1.2086754771242865,1.2653753199967805
2023-10-09,1.2818181236910837,1.2046151687581135,1.2632499298091862
2023-10-10,1.2818181236910837,1.2044804564470604,1.2631792950862073
2023-10-11,1.2818181236910837,1.2075443950925244,1.264785923005178
2023-10-12,1.2818181236910837,1.2100106723657733,1.2660775164199252
2023-10-13,1.2818181236910837,1.209871536484884,1.266004724991492
2023-10-16,1.2818181236910837,1.2067547619245766,1.2643740347896437
2023-10-17,1.2818181236910837,1.2073299133496862,1.2646753414639265
2023-10-18,1.2818181236910837,1.2067392276399587,1.2643659704944064
2023-10-19,1.2818181236910837,1.20659669392356,1.264291300351705
2023-10-20,1.2818181236910837,1.2127951088777589,1.2675386994793623
