date,regime,vol_regime,trend_regime,vol_percentile,TrendMedium_weight,TrendImpulse_weight,MomentumCore_weight,Cash_weight
2014-05-20,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5873015873015873,0.29,0.22,0.49,0.0
2014-05-21,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5912698412698413,0.29,0.22,0.49,0.0
2014-05-22,medium_vol_transitional,MEDIUM,TRANSITIONAL,0.5873015873015873,0.29,0.22,0.49,0.0
2014-05-23,medium_vol_ranging,MEDIUM,RANGING,0.5992063492063492,0.58,0.0,0.42,0.0
2014-05-26,medium_vol_ranging,MEDIUM,RANGING,0.5952380952380952,0.58,0.0,0.42,0.0
2014-05-27,medium_vol_ranging,MEDIUM,RANGING,0.5992063492063492,0.58,0.0,0.42,0.0
2014-05-28,medium_vol_ranging,MEDIUM,RANGING,0.5952380952380952,0.58,0.0,0.42,0.0
2014-05-29,medium_vol_ranging,MEDIUM,RANGING,0.6150793650793651,0.58,0.0,0.42,0.0
2014-05-30,medium_vol_ranging,MEDIUM,RANGING,0.5833333333333334,0.58,0.0,0.42,0.0
2014-06-02,medium_vol_ranging,MEDIUM,RANGING,0.623015873015873,0.58,0.0,0.42,0.0
2014-06-03,medium_vol_ranging,MEDIUM,RANGING,0.626984126984127,0.58,0.0,0.42,0.0
2014-06-04,medium_vol_ranging,MEDIUM,RANGING,0.40476190476190477,0.58,0.0,0.42,0.0
2014-06-05,medium_vol_ranging,MEDIUM,RANGING,0.3333333333333333,0.58,0.0,0.42,0.0
2014-06-06,low_vol_ranging,LOW,RANGING,0.28174603174603174,0.38,0.18,0.44,0.0
2014-06-09,low_vol_ranging,LOW,RANGING,0.2777777777777778,0.38,0.18,0.44,0.0
2014-06-10,low_vol_ranging,LOW,RANGING,0.24206349206349206,0.38,0.18,0.44,0.0
2014-06-11,low_vol_ranging,LOW,RANGING,0.24206349206349206,0.38,0.18,0.44,0.0
2014-06-12,low_vol_ranging,LOW,RANGING,0.2619047619047619,0.38,0.18,0.44,0.0
2014-06-13,low_vol_ranging,LOW,RANGING,0.26587301587301587,0.38,0.18,0.44,0.0
2014-06-16,low_vol_ranging,LOW,RANGING,0.25,0.38,0.18,0.44,0.0
2014-06-17,low_vol_ranging,LOW,RANGING,0.24206349206349206,0.38,0.18,0.44,0.0
2014-06-18,low_vol_ranging,LOW,RANGING,0.23809523809523808,0.38,0.18,0.44,0.0
2014-06-19,low_vol_ranging,LOW,RANGING,0.23809523809523808,0.38,0.18,0.44,0.0
2014-06-20,low_vol_ranging,LOW,RANGING,0.2222222222222222,0.38,0.18,0.44,0.0
2014-06-23,low_vol_ranging,LOW,RANGING,0.1984126984126984,0.38,0.18,0.44,0.0
2014-06-24,low_vol_ranging,LOW,RANGING,0.1984126984126984,0.38,0.18,0.44,0.0
2014-06-25,low_vol_ranging,LOW,RANGING,0.1626984126984127,0.38,0.18,0.44,0.0
2014-06-26,low_vol_ranging,LOW,RANGING,0.16666666666666666,0.38,0.18,0.44,0.0
2014-06-27,low_vol_ranging,LOW,RANGING,0.17063492063492064,0.38,0.18,0.44,0.0
2014-06-30,low_vol_ranging,LOW,RANGING,0.1984126984126984,0.38,0.18,0.44,0.0
2014-07-01,low_vol_ranging,LOW,RANGING,0.19047619047619047,0.38,0.18,0.44,0.0
2014-07-02,low_vol_transitional,LOW,TRANSITIONAL,0.21825396825396826,0.010101010101010102,0.5656565656565657,0.42424242424242425,0.0
2014-07-03,low_vol_transitional,LOW,TRANSITIONAL,0.21428571428571427,0.010101010101010102,0.5656565656565657,0.42424242424242425,0.0
2014-07-04,low_vol_transitional,LOW,TRANSITIONAL,0.2222222222222222,0.010101010101010102,0.5656565656565657,0.42424242424242425,0.0
2014-07-07,low_vol_transitional,LOW,TRANSITIONAL,0.21031746031746032,0.010101010101010102,0.5656565656565657,0.42424242424242425,0.0
2014-07-08,low_vol_transitional,LOW,TRANSITIONAL,0.20634920634920634,0.010101010101010102,0.5656565656565657,0.42424242424242425,0.0
2014-07-09,low_vol_transitional,LOW,TRANSITIONAL,0.21031746031746032,0.010101010101010102,0.5656565656565657,0.42424242424242425,0.0
2014-07-10,low_vol_transitional,LOW,TRANSITIONAL,0.21825396825396826,0.010101010101010102,0.5656565656565657,0.42424242424242425,0.0
2014-07-11,low_vol_transitional,LOW,TRANSITIONAL,0.14285714285714285,0.010101010101010102,0.5656565656565657,0.42424242424242425,0.0
2014-07-14,low_vol_transitional,LOW,TRANSITIONAL,0.1388888888888889,0.010101010101010102,0.5656565656565657,0.42424242424242425,0.0
