date,signal_weekly,signal_biweekly,position_weekly,position_biweekly,return_weekly,return_biweekly
2001-01-29,0.0,0.0,0.0,0.4910008476053655,-3.6813590407002254e-05,-0.0035343590586577956
2001-01-30,0.0,0.0,0.0,0.0,0.0,-7.365012714080482e-05
2001-01-31,0.0,-1.0,0.0,0.0,0.0,0.0
2001-02-01,0.0,-1.0,0.0,-0.5759513194598004,0.0,-0.0010378541287445909
2001-02-02,1.0,-1.0,0.0,-0.6246954374932039,-0.0,0.0037703958107860197
2001-02-05,1.0,1.0,0.6461794835982829,-0.6461794835982829,-0.006172729589116536,0.0060725800596610315
2001-02-06,1.0,1.0,0.6449583097237489,0.6449583097237489,-0.0003602939017784252,-0.0005537813946955498
2001-02-07,1.0,-0.5,0.688012166723298,0.688012166723298,0.0015309992772563948,0.0015309992772563948
2001-02-08,1.0,-0.5,0.6931768067532948,-0.3465884033766474,0.00038561148390260213,-0.00034838317546854265
2001-02-09,1.0,-0.5,0.6935232492327565,-0.3467616246163783,-0.005795510873609428,0.002897703470432795
2001-02-12,1.0,1.0,0.6860227954791546,-0.3430113977395773,-0.0019281553924426545,0.000962952628158287
2001-02-13,1.0,1.0,0.6936647580380155,0.6936647580380155,0.0064470049775187796,0.00629264984853597
2001-02-14,1.0,-1.0,0.6754328566909298,0.6754328566909298,-0.00433847458533922,-0.00433847458533922
2001-02-15,1.0,-1.0,0.7942099506124123,-0.7942099506124123,0.008459705380651057,-0.008697968365834781
2001-02-16,0.0,-1.0,0.7822317605557915,-0.7822317605557915,-0.0021758705488414245,0.002172277091824438
2001-02-19,0.0,0.0,0.0,-1.050905365116709,-0.0001173347640833687,0.007867849700160716
2001-02-20,0.0,0.0,0.0,0.0,-0.0,-0.00015763580476750634
2001-02-21,0.0,-0.5,0.0,0.0,-0.0,-0.0
2001-02-22,0.0,-0.5,0.0,-0.49943910308766315,-0.0,0.0021939727345943794
2001-02-23,0.0,-0.5,0.0,-0.513770855316253,-0.0,0.002342497608831438
