dt,z,signal_raw,signal_exec,position_vt
2015-06-02,-0.770279127086891,-1.0,-1.0,-0.5945257424875211
2015-06-03,-0.8277296679616117,-1.0,-1.0,-0.6152919054191516
2015-06-04,-1.032490077765908,-1.0,-1.0,-0.6152919054191516
2015-06-05,-0.9760091888241892,-1.0,-1.0,-0.6152919054191516
2015-06-08,-0.9443422916500072,-1.0,-1.0,-0.6042267370428404
2015-06-09,-0.8996202075794981,-1.0,-1.0,-0.6042267370428404
2015-06-10,-0.7505966841457685,-1.0,-1.0,-0.7414122919987227
2015-06-11,-1.0739884618017839,-1.0,-1.0,-0.7414122919987227
2015-06-12,-0.9945658740964226,-1.0,-1.0,-0.7414122919987227
2015-06-15,-1.2029047169659934,-1.0,-1.0,-0.6799158565155131
2015-06-16,-1.3397826420760233,-1.0,-1.0,-0.6799158565155131
2015-06-17,-1.3403586933680463,-1.0,-1.0,-0.6747148829607451
2015-06-18,-1.3070322113300925,-1.0,-1.0,-0.6747148829607451
2015-06-19,-1.5162010066755147,-1.0,-1.0,-0.6747148829607451
2015-06-22,-1.5162507342774378,-1.0,-1.0,-0.6817992272930097
2015-06-23,-1.2174467316590591,-1.0,-1.0,-0.6817992272930097
2015-06-24,-1.3018002406973355,-1.0,-1.0,-0.6040314321099012
2015-06-25,-1.2218978291168359,-1.0,-1.0,-0.6040314321099012
2015-06-26,-1.24740044411698,-1.0,-1.0,-0.6040314321099012
2015-06-29,-1.1590547299972849,-1.0,-1.0,-0.6399977720779569
2015-06-30,-1.2082929177193333,-1.0,-1.0,-0.6399977720779569
2015-07-01,-1.1769502871063202,-1.0,-1.0,-0.6626314378620924
2015-07-02,-1.1229775652126168,-1.0,-1.0,-0.6626314378620924
2015-07-03,-1.197885130332104,-1.0,-1.0,-0.6626314378620924
2015-07-06,-1.584927749954391,-1.0,-1.0,-0.5850645978610404
2015-07-07,-2.1739109104545475,-1.0,-1.0,-0.5850645978610404
2015-07-08,-1.714851481223844,-1.0,-1.0,-0.42274238026099326
2015-07-09,-1.4407708671542372,-1.0,-1.0,-0.42274238026099326
2015-07-10,-1.5238539206088155,-1.0,-1.0,-0.42274238026099326
2015-07-13,-1.511163632819063,-1.0,-1.0,-0.40703325231442555
2015-07-14,-1.5620723959018696,-1.0,-1.0,-0.40703325231442555
2015-07-15,-1.63178588385953,-1.0,-1.0,-0.4133267177824581
2015-07-16,-1.5502040296078796,-1.0,-1.0,-0.4133267177824581
2015-07-17,-1.7309404621582458,-1.0,-1.0,-0.4133267177824581
2015-07-20,-1.7176666446199012,-1.0,-1.0,-0.4145075863880685
2015-07-21,-1.7644227219767608,-1.0,-1.0,-0.4145075863880685
2015-07-22,-1.9798360164107447,-1.0,-1.0,-0.42607655825235463
2015-07-23,-2.178913794956512,-1.0,-1.0,-0.42607655825235463
2015-07-24,-2.177681483448702,-1.0,-1.0,-0.42607655825235463
2015-07-27,-2.338667756432924,-1.0,-1.0,-0.42415445818111214
2015-07-28,-2.0419440601411183,-1.0,-1.0,-0.42415445818111214
2015-07-29,-1.9475568106156027,-1.0,-1.0,-0.410129477097762
2015-07-30,-2.0933134662539423,-1.0,-1.0,-0.410129477097762
2015-07-31,-2.142704553354529,-1.0,-1.0,-0.410129477097762
2015-08-03,-2.141416028263038,-1.0,-1.0,-0.42773426632704303
2015-08-04,-2.0805235381847487,-1.0,-1.0,-0.42773426632704303
2015-08-05,-2.1950300397866687,-1.0,-1.0,-0.42717384885110893
2015-08-06,-2.152063849311886,-1.0,-1.0,-0.42717384885110893
2015-08-07,-2.1582883953051413,-1.0,-1.0,-0.42717384885110893
2015-08-10,-1.8136982015633965,-1.0,-1.0,-0.4021206763554289
2015-08-11,-2.236996446483926,-1.0,-1.0,-0.4021206763554289
2015-08-12,-2.059857897389302,-1.0,-1.0,-0.37138386241610916
2015-08-13,-2.051533616487011,-1.0,-1.0,-0.37138386241610916
2015-08-14,-2.0799033032696324,-1.0,-1.0,-0.37138386241610916
2015-08-17,-2.1775289488189493,-1.0,-1.0,-0.5074889071134491
2015-08-18,-2.346154606814876,-1.0,-1.0,-0.5074889071134491
2015-08-19,-2.4138614486340297,-1.0,-1.0,-0.5313967429723865
2015-08-20,-2.0894168341231163,-1.0,-1.0,-0.5313967429723865
2015-08-21,-2.2185496945632117,-1.0,-1.0,-0.5313967429723865
2015-08-24,-2.4410800930190364,-1.0,-1.0,-0.46722672732650167
2015-08-25,-2.1414074427335774,-1.0,-1.0,-0.46722672732650167
2015-08-26,-2.426834335876257,-1.0,-1.0,-0.4270377446366517
2015-08-27,-1.9162541485965467,-1.0,-1.0,-0.4270377446366517
2015-08-28,-1.9096039517003263,-1.0,-1.0,-0.4270377446366517
2015-08-31,-1.8912127658510811,-1.0,-1.0,-0.37706438592112007
2015-09-01,-2.024975043151375,-1.0,-1.0,-0.37706438592112007
2015-09-02,-1.887038472060405,-1.0,-1.0,-0.3764517972758269
2015-09-03,-1.5852941634514743,-1.0,-1.0,-0.3764517972758269
2015-09-04,-1.8591105484233204,-1.0,-1.0,-0.3764517972758269
2015-09-07,-1.7784842147682218,-1.0,-1.0,-0.36459784675284523
2015-09-08,-1.3222644631665665,-1.0,-1.0,-0.36459784675284523
2015-09-09,-1.268055319315613,-1.0,-1.0,-0.3394782267217395
2015-09-10,-1.1860056488247592,-1.0,-1.0,-0.3394782267217395
2015-09-11,-1.2388508272931908,-1.0,-1.0,-0.3394782267217395
2015-09-14,-1.364642674464512,-1.0,-1.0,-0.338351548669276
2015-09-15,-1.2697963611406857,-1.0,-1.0,-0.338351548669276
2015-09-16,-1.1896925603099469,-1.0,-1.0,-0.33760946567631817
2015-09-17,-1.1564276153301587,-1.0,-1.0,-0.33760946567631817
2015-09-18,-1.4513970069270095,-1.0,-1.0,-0.33760946567631817
2015-09-21,-1.4055597823497177,-1.0,-1.0,-0.3636529379986735
2015-09-22,-1.8300891995666664,-1.0,-1.0,-0.3636529379986735
2015-09-23,-1.8616655824055097,-1.0,-1.0,-0.3380747838354621
